ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE
1755	Spanish	Indo-European	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ			
3192	Yaqui	Uto-Aztecan	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a	0.0		
4457	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h	0.0		
4458	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l	0.0		
6226	Qeqchi	Mayan	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ	0.0		
6227	Qeqchi	Mayan	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	1.0	Spanish	ayunar
8463	Otomi	Otomanguean	ABSTAIN FROM FOOD	behe	behe	b e h e	0.0		
8464	Otomi	Otomanguean	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e	0.0		
9630	ImbaburaQuechua	Quechuan	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	1.0	Spanish	ayunar
10853	Wichi	Matacoan	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t	0.0		
1109	Spanish	Indo-European	AFTER	después	después	d ɛ s p w e s			
2681	Yaqui	Uto-Aztecan	AFTER	chukula	chukula	tʃ u k u l a	0.0		
5569	Qeqchi	Mayan	AFTER	moqon	moqon	m o q o n	0.0		
7584	Otomi	Otomanguean	AFTER	‘mefa	‘mefa	ˀm e f a	0.0		
7585	Otomi	Otomanguean	AFTER	gem’bu	gem’bu	g e m ʔ b u	0.0		
7586	Otomi	Otomanguean	AFTER	'be̲fa	'be̲fa	ˀb æ f a	0.0		
9209	ImbaburaQuechua	Quechuan	AFTER	jipa	jipa	x i p a	0.0		
